Id,LifeExp,LifeExpMed,LifeExpDiff
2182,21.844544050284945,18.504708053809544,3.3398359964754007
1943,33.90005329047558,26.649242949619804,7.250810340855779
1250,51.90714023448948,37.00932767628684,14.897812558202645
2185,36.616439408161604,28.3455168485099,8.270922559651705
1720,21.844544050284945,18.504708053809544,3.3398359964754007
1940,47.75204630374156,34.725031753781536,13.027014549960022
2249,27.787473328834647,22.72331432297338,5.064159005861267
1795,28.657575490056985,23.314743758124447,5.342831731932538
1278,32.125262451980014,25.512117531575388,6.6131449204046255
2124,22.983981350287443,19.276037340813527,3.7079440094739162
2755,56.75570329942383,39.40098246346832,17.35472083595551
1648,57.72781975214807,39.86282265161808,17.86499710052999
2802,25.207005864475406,20.930583108743882,4.276422755731524
2841,47.095383867662235,34.4868043099022,12.608579557760038
2275,56.75570329942383,39.40098246346832,17.35472083595551
2849,30.382990256587583,24.373344107740532,6.00964614884705
1320,39.4983829135983,30.180083698173387,9.318299215424911
2892,22.203990884780787,18.712001041292712,3.4919898434880743
1148,29.524678574921158,23.804013317728103,5.720665257193055
2787,42.16122571989017,31.63792770687373,10.52329801301644
2850,22.203990884780787,18.712001041292712,3.4919898434880743
1112,50.54930076294521,36.18483079513966,14.364469967805547
1480,50.54930076294521,36.18483079513966,14.364469967805547
1932,53.33799079381401,37.58464651995397,15.753344273860037
2166,44.225457916942624,32.90705987428489,11.318398042657734
1967,48.68454152774831,35.21780911842257,13.466732409325736
1155,24.356845969204684,20.32690797634698,4.029937992857704
1939,27.834406324756458,22.66640721947083,5.167999105285627
1311,54.813166239968375,38.46050399346066,16.352662246507712
2357,40.43642521836003,30.733701391485663,9.702723826874365
1705,47.095383867662235,34.4868043099022,12.608579557760038
1493,49.61710936456955,35.70449114830862,13.912618216260931
2075,43.09224229983403,32.16814968151517,10.92409261831886
2464,39.3770438440689,30.013569516206193,9.363474327862708
1433,54.264932486748464,38.037847948475395,16.22708453827307
2717,38.453509905442964,29.461908349375953,8.99160155606701
1392,31.249913900939102,24.942786209316267,6.307127691622835
1114,32.182583578451556,25.645559514511717,6.537024063939839
1693,49.97805334227185,36.016439502785175,13.961613839486674
1165,33.0771486951694,26.22129954572104,6.85584914944836
1187,50.94170910064978,36.515418157719736,14.426290942930045
1984,22.67467599215396,19.113137319111498,3.561538673042463
1882,22.67467599215396,19.113137319111498,3.561538673042463
1243,22.67467599215396,19.113137319111498,3.561538673042463
1931,51.90714023448948,37.00932767628684,14.897812558202645
2066,40.303191272779394,30.560363462125036,9.742827810654358
1819,33.90005329047558,26.649242949619804,7.250810340855779
2096,34.88411739317421,27.365820286611218,7.51829710656299
2789,51.90714023448948,37.00932767628684,14.897812558202645
2459,19.89529851822544,17.007785020943693,2.8875134972817484
1145,52.41005444265724,37.12503458008139,15.28501986257585
2314,54.813166239968375,38.46050399346066,16.352662246507712
1901,21.428836046301207,18.145613072280646,3.2832229740205605
1809,31.29402265340192,25.067575234330075,6.226447419071846
2806,39.3770438440689,30.013569516206193,9.363474327862708
2612,26.06227277258789,21.531302149712985,4.530970622874904
1193,54.264932486748464,38.037847948475395,16.22708453827307
2448,52.87433333203611,37.49820999871522,15.37612333332089
1889,33.977759603815755,26.79480620704962,7.182953396766134
2154,22.983981350287443,19.276037340813527,3.7079440094739162
2097,41.231418201263494,31.101925270226857,10.129492931036637
2396,33.977759603815755,26.79480620704962,7.182953396766134
2618,21.428836046301207,18.145613072280646,3.2832229740205605
2047,20.65888535179425,17.577200056956674,3.081685294837577
2615,47.75204630374156,34.725031753781536,13.027014549960022
2222,32.125262451980014,25.512117531575388,6.6131449204046255
2358,47.095383867662235,34.4868043099022,12.608579557760038
2910,47.095383867662235,34.4868043099022,12.608579557760038
1827,47.095383867662235,34.4868043099022,12.608579557760038
2560,19.138892602842983,16.4381185158639,2.7007740869790844
2707,22.203990884780787,18.712001041292712,3.4919898434880743
2058,19.89529851822544,17.007785020943693,2.8875134972817484
1427,46.136937445112046,33.965581900751545,12.171355544360502
2045,51.480384054937666,36.65838618876604,14.821997866171628
2390,52.41005444265724,37.12503458008139,15.28501986257585
2332,39.3770438440689,30.013569516206193,9.363474327862708
1190,22.983981350287443,19.276037340813527,3.7079440094739162
1645,41.37858188302808,31.283512616212263,10.09506926681582
2491,54.813166239968375,38.46050399346066,16.352662246507712
2836,52.87433333203611,37.49820999871522,15.37612333332089
2906,32.125262451980014,25.512117531575388,6.6131449204046255
1340,54.813166239968375,38.46050399346066,16.352662246507712
1829,49.61710936456955,35.70449114830862,13.912618216260931
2246,33.977759603815755,26.79480620704962,7.182953396766134
1683,53.33799079381401,37.58464651995397,15.753344273860037
1903,55.7841268047176,38.93354782916921,16.850578975548395
2060,54.264932486748464,38.037847948475395,16.22708453827307
1176,33.90005329047558,26.649242949619804,7.250810340855779
2192,22.983981350287443,19.276037340813527,3.7079440094739162
1479,46.136937445112046,33.965581900751545,12.171355544360502
2574,26.922393527166147,22.128850323840727,4.79354320332542
1928,49.97805334227185,36.016439502785175,13.961613839486674
1906,38.56502809427056,29.62309204576597,8.94193604850459
2723,44.955767712765294,33.209921549509495,11.745846163255798
2597,23.512425986671293,19.72082128525785,3.791604701413444
2267,38.453509905442964,29.461908349375953,8.99160155606701
2119,56.75570329942383,39.40098246346832,17.35472083595551
1238,36.71375926682785,28.50005916810739,8.213700098720459
1921,56.75570329942383,39.40098246346832,17.35472083595551
2153,26.922393527166147,22.128850323840727,4.79354320332542
1792,50.94170910064978,36.515418157719736,14.426290942930045
1981,21.428836046301207,18.145613072280646,3.2832229740205605
